ID,Prompt,StoryText,StoryStatus,Title,Description,Tags,MetadataPath,MetadataStatus,AudioPath,AudioStatus,SubtitlePath,SubtitleStatus,VideoStatus,VideoPath,UploadStatus,YouTubeVideoID,YouTubeVideoUrl
0,,,pending,,,,,pending,audio/narrations\story_0.wav,pending,,pending,pending,,pending,,
1,,,pending,,,,,pending,audio/narrations\story_1.wav,pending,,pending,pending,,pending,,
2,,,pending,,,,,pending,audio/narrations\story_2.wav,pending,,pending,pending,,pending,,
3,,,pending,,,,,pending,audio/narrations\story_3.wav,pending,,pending,pending,,pending,,
4,,,pending,,,,,pending,audio/narrations\story_4.wav,pending,,pending,pending,,pending,,
5,,,pending,,,,,pending,audio/narrations\story_5.wav,pending,,pending,pending,,pending,,
6,,,pending,,,,,pending,audio/narrations\story_6.wav,pending,,pending,pending,,pending,,
7,,,pending,,,,,pending,audio/narrations\story_7.wav,pending,,pending,pending,,pending,,
8,,,pending,,,,,pending,audio/narrations\story_8.wav,pending,,pending,pending,,pending,,
9,,,pending,,,,,pending,audio/narrations\story_9.wav,pending,,pending,pending,,pending,,
