"Trends","Search volume","Started","Ended","Trend breakdown","Explore link"
"athletic - barcelona","50K+","May 25, 2025 at 11:30:00 PM UTC+5:30",,"athletic - barcelona,athletic club vs barcelona,athletic vs. barcelona","https://trends.google.com/trends/explore?q=athletic%20-%20barcelona&geo=US&hl=en-US"
"indy 500 live","50K+","May 25, 2025 at 9:00:00 PM UTC+5:30",,"indy 500 live,indy 500 leaderboard,indy 500 live stream,indy 500 winners,sato indy 500,fox sports indy 500,indy 500 running order,watch indy 500,indy,indy 500 live leaderboard,indy 500 live updates,indianapolis 500 race,indy 500 where to watch,indy 500 race,indy 500 update,stream indy 500,indy 500 results,indy 500 stream,indycar live,indy 500 updates,2024 indy 500 winner,indy 500 updates live,indy 500 racers,indy 500 laps,indy 500 drivers 2025,robert schwartzman,2025 indy 500,indy 500 current status,ntt indycar,where can i watch the indy 500,how to watch the indy 500,newgarden indy 500,indy 500 rain delay 2025,indy 500 odds,indy 500 lineup 2025,indy 500 green flag time,indy 500 delay 2025,indy 500 track,indy 500 grid,indy 500 flyover 2025,watch indy 500 free,indy 500 watch,what channel is indy 500 on,where is the indy 500,is the indy 500 delayed,starting grid for indy 500,what time does the indy 500 start today,indy 500 watch live,how long is indy 500,indy 500 broadcast","https://trends.google.com/trends/explore?q=indy%20500%20live&geo=US&hl=en-US"
"premier league standings","200K+","May 25, 2025 at 8:40:00 PM UTC+5:30",,"premier league standings,premier league,epl standings,epl,epl table,premier league table,english premier league,newcastle,pl table,newcastle united,premier league live table,epl live table,chelsea standings,bbc football,prem table,prem","https://trends.google.com/trends/explore?q=premier%20league%20standings&geo=US&hl=en-US"
"tarik skubal","5K+","May 25, 2025 at 10:20:00 PM UTC+5:30",,"tarik skubal,skubal,zach mckinstry","https://trends.google.com/trends/explore?q=tarik%20skubal&geo=US&hl=en-US"
"unc women's lacrosse","10K+","May 25, 2025 at 9:40:00 PM UTC+5:30",,"unc women's lacrosse,northwestern women's lacrosse,unc women's lacrosse roster,ncaa women's lacrosse,north carolina women's lacrosse,chloe humphrey,northwestern university,unc womens lacrosse,unc vs northwestern lacrosse,chloe humphrey unc","https://trends.google.com/trends/explore?q=unc%20women%27s%20lacrosse&geo=US&hl=en-US"
"scott mclaughlin","10K+","May 25, 2025 at 10:50:00 PM UTC+5:30",,"scott mclaughlin,scott dixon,scott mclaughlin indy 500,mclaughlin indy 500,indy 500 crash,marco andretti indy 500,andretti indy 500,scott mclaughlin crash","https://trends.google.com/trends/explore?q=scott%20mclaughlin&geo=US&hl=en-US"
"marco andretti","5K+","May 25, 2025 at 9:20:00 PM UTC+5:30",,"marco andretti","https://trends.google.com/trends/explore?q=marco%20andretti&geo=US&hl=en-US"
"reese mcguire","5K+","May 25, 2025 at 8:50:00 PM UTC+5:30",,"reese mcguire","https://trends.google.com/trends/explore?q=reese%20mcguire&geo=US&hl=en-US"
"ed carpenter","2K+","May 25, 2025 at 9:20:00 PM UTC+5:30",,"ed carpenter,ed carpenter racing","https://trends.google.com/trends/explore?q=ed%20carpenter&geo=US&hl=en-US"
"benfica vs sporting","5K+","May 25, 2025 at 9:00:00 PM UTC+5:30",,"benfica vs sporting,sporting cp","https://trends.google.com/trends/explore?q=benfica%20vs%20sporting&geo=US&hl=en-US"
"best anime awards","2K+","May 25, 2025 at 8:40:00 PM UTC+5:30",,"best anime awards","https://trends.google.com/trends/explore?q=best%20anime%20awards&geo=US&hl=en-US"
"kyle larson indy 500","5K+","May 25, 2025 at 8:40:00 PM UTC+5:30",,"kyle larson indy 500,larson indy 500,jeff gordon","https://trends.google.com/trends/explore?q=kyle%20larson%20indy%20500&geo=US&hl=en-US"
"aston villa","10K+","May 25, 2025 at 8:50:00 PM UTC+5:30",,"aston villa,manchester united vs aston villa,manchester united f.c.,aston villa f.c.,epl fixtures,aston villa standings,aston villa vs man united","https://trends.google.com/trends/explore?q=aston%20villa&geo=US&hl=en-US"
"aj foyt","2K+","May 25, 2025 at 8:30:00 PM UTC+5:30",,"aj foyt,a j foyt","https://trends.google.com/trends/explore?q=aj%20foyt&geo=US&hl=en-US"
"nadal","5K+","May 25, 2025 at 10:20:00 PM UTC+5:30",,"nadal,andy murray,roger federer,rafa nadal,rafael nadal tribute roland garros,federer,rafael nadal wife","https://trends.google.com/trends/explore?q=nadal&geo=US&hl=en-US"
"ole miss baseball","5K+","May 25, 2025 at 10:40:00 PM UTC+5:30",,"ole miss baseball,vanderbilt baseball,ole miss baseball score,college baseball scores,ole miss vs vanderbilt baseball","https://trends.google.com/trends/explore?q=ole%20miss%20baseball&geo=US&hl=en-US"
"ben shelton","2K+","May 25, 2025 at 9:20:00 PM UTC+5:30",,"ben shelton","https://trends.google.com/trends/explore?q=ben%20shelton&geo=US&hl=en-US"
"ben griffin","2K+","May 25, 2025 at 10:50:00 PM UTC+5:30",,"ben griffin,ben griffin golf","https://trends.google.com/trends/explore?q=ben%20griffin&geo=US&hl=en-US"
"trent alexander-arnold","2K+","May 25, 2025 at 9:30:00 PM UTC+5:30",,"trent alexander-arnold,alexander arnold","https://trends.google.com/trends/explore?q=trent%20alexander-arnold&geo=US&hl=en-US"
"buga colombia ufo sphere","2K+","May 25, 2025 at 11:30:00 PM UTC+5:30",,"buga colombia ufo sphere","https://trends.google.com/trends/explore?q=buga%20colombia%20ufo%20sphere&geo=US&hl=en-US"
"clemson baseball","5K+","May 25, 2025 at 9:50:00 PM UTC+5:30",,"clemson baseball,clemson baseball score,unc baseball score","https://trends.google.com/trends/explore?q=clemson%20baseball&geo=US&hl=en-US"
"indy 500 standings","10K+","May 25, 2025 at 10:50:00 PM UTC+5:30",,"indy 500 standings,tony kanaan,indy 500 delay,indy weather,tony kanaan indy 500,weather indianapolis,indy 500 rain delay,weather in indianapolis,indianapolis 500 weather,indy 500 delayed,indy 500 rain","https://trends.google.com/trends/explore?q=indy%20500%20standings&geo=US&hl=en-US"
"benfica","2K+","May 25, 2025 at 10:00:00 PM UTC+5:30",,"benfica,taça de portugal","https://trends.google.com/trends/explore?q=benfica&geo=US&hl=en-US"
